EPI	TE	PrE	Group
0.295245541053476	0.257886426190155	0.44686803275637	All three
0.0913666346524917	0.407069869026353	0.501563496321156	All three
0.166441919968064	0.658695842571404	0.174862237460532	All three
0.34101470168585	0.15958889764769	0.49939640066646	All three
0.381689395226269	0.26549188479332	0.352818719980411	All three
0.541619802000914	0.366477968524314	0.091902229474772	All three
0.224824147834141	0.129389794733753	0.645786057432106	All three
0.230663769861878	0.536033004752592	0.233303225385531	All three
0.395768369433617	0.402450631610434	0.201780998955949	All three
0.15256271397247	0.538630277398435	0.308807008629095	All three
0.238648727307621	0.282951623651692	0.478399649040686	All three
0.409695247402534	0.125412436155086	0.46489231644238	All three
0.409460021595237	0.238242806472965	0.352297171931797	All three
0.499474472309106	0.290279330392221	0.210246197298673	All three
0.310821981228581	0.127594652034388	0.561583366737031	All three
0.246281764751464	0.257105007303067	0.49661322794547	All three
0.354763914798519	0.482566734282574	0.162669350918907	All three
0.293725543164575	0.508729873787488	0.197544583047937	All three
0.24816386664029	0.54435365305133	0.207482480308381	All three
0.530100282811909	0.259420785449814	0.210478931738278	All three
0.634426169096254	0.134824081868757	0.230749749034989	All three
0.30971011402427	0.587901138530076	0.102388747445653	All three
0.431311509055685	0.556115198885444	0.0125732920588709	EPI + TE
0.212289289422145	0.781306827164045	0.00640388341380986	EPI + TE
0.332543449029775	0.468442875049016	0.199013675921209	EPI + TE
0.472756228336695	0.459335879859663	0.0679078918036421	EPI + TE
0.560165771621993	0.35289818348919	0.0869360448888167	EPI + TE
0.585181880388657	0.357106981752814	0.0577111378585283	EPI + TE
0.587436807561218	0.411995506814752	0.000567685624030202	EPI + TE
0.416064051015638	0.521809912140802	0.0621260368435595	EPI + TE
0.643554200746382	0.29091075047206	0.0655350487815582	EPI + TE
0.518065298111087	0.478072986819808	0.00386171506910511	EPI + TE
0.480013620276146	0.519604871759225	0.000381507964628454	EPI + TE
0.497844680655472	0.49536100636502	0.0067943129795075	EPI + TE
0.51640037397227	0.430997380328136	0.0526022456995947	EPI + TE
0.237421882820703	0.761872392653892	0.000705724525405003	EPI + TE
0.551817092695575	0.419553055647851	0.0286298516565736	EPI + TE
0.353809753485573	0.590766255833517	0.0554239906809103	EPI + TE
0.480632520810526	0.451356831857558	0.0680106473319161	EPI + TE
0.488677728336506	0.509070057567654	0.00225221409583931	EPI + TE
0.415193826167339	0.584795471287769	1.07025448926625e-05	EPI + TE
0.298346902996713	0.510273328703733	0.191379768299555	EPI + TE
0.412583296251972	0.583929563534143	0.0034871402138857	EPI + TE
0.656228807105318	0.238128720405483	0.1056424724892	EPI + TE
0.519733073733845	0.429629880141836	0.0506370461243193	EPI + TE
0.741703325246283	0.244199185879905	0.0140974888738113	EPI + TE
0.448169358632336	0.525667154050896	0.0261634873167685	EPI + TE
0.50573202265211	0.44815856633795	0.0461094110099396	EPI + TE
0.153141074285134	0.545553564959254	0.301305360755612	EPI + TE
0.504549531096611	0.486022471316703	0.00942799758668518	EPI + TE
0.6953756374742	0.0161784030409066	0.288445959484893	EPI + PrE
0.43233990289212	0.0129382107856373	0.554721886322242	EPI + PrE
0.651543142997446	0.0316394509894722	0.316817406013081	EPI + PrE
0.358813601719676	0.0638924514112259	0.577293946869099	EPI + PrE
0.510972283270635	0.00621699094195853	0.482810725787407	EPI + PrE
0.391514066696816	0.0270519532726262	0.581433980030558	EPI + PrE
0.694166659192608	0.0421374172903123	0.26369592351708	EPI + PrE
0.319979841216922	0.00207848958506136	0.677941669198016	EPI + PrE
0.403919590176909	0.279250039284449	0.316830370538642	EPI + PrE
0.435448334700813	0.00605206618891563	0.558499599110271	EPI + PrE
0.481028095359458	0.0836327355863686	0.435339169054174	EPI + PrE
0.426700428253937	0.0084060486892826	0.56489352305678	EPI + PrE
0.724291057183135	0.0439429111793441	0.231766031637521	EPI + PrE
0.58386338887425	0.0165133213954909	0.399623289730259	EPI + PrE
0.58253607083621	0.0568033138230422	0.360660615340748	EPI + PrE
0.636652016356063	0.00170128709283963	0.361646696551097	EPI + PrE
0.313615045497258	0.134172516907228	0.552212437595513	EPI + PrE
0.761251567358825	0.00260954071719266	0.236138891923982	EPI + PrE
0.297053727312458	0.0302126852503431	0.672733587437199	EPI + PrE
0.678978929175968	0.116928413087798	0.204092657736233	EPI + PrE
0.326257268282818	0.00615930149275024	0.667583430224432	EPI + PrE
0.545059628939327	0.0368016570496213	0.418138714011051	EPI + PrE
0.434487316067615	0.0266258318261425	0.538886852106242	EPI + PrE
0.46687347622125	5.95217407963419e-05	0.533067002037953	EPI + PrE
0.248026216595755	0.00646004971590397	0.745513733688342	EPI + PrE
0.371716208792948	0.050345550352388	0.577938240854664	EPI + PrE
0.429064536471103	0.126208575446397	0.444726888082501	EPI + PrE
0.752097956635676	0.097513256904216	0.150388786460108	EPI + PrE
0.105800265107094	0.347588447942659	0.546611286950247	TE + PrE
0.00433216436801043	0.571775326581889	0.423892509050101	TE + PrE
0.0409922277725566	0.534066978765268	0.424940793462175	TE + PrE
0.0243508085976554	0.436197927570637	0.539451263831708	TE + PrE
0.083703092019526	0.288375416507494	0.62792149147298	TE + PrE
0.000572111999568726	0.706028598735545	0.293399289264887	TE + PrE
0.00455687202801227	0.690759187809631	0.304683940162356	TE + PrE
0.0263402541155707	0.696922282629568	0.276737463254861	TE + PrE
0.04317692924019	0.520612162266582	0.436210908493228	TE + PrE
0.051494021149967	0.464261952036035	0.484244026813998	TE + PrE
0.00661289113328955	0.655704631518598	0.337682477348113	TE + PrE
0.00335128122794237	0.371165888353241	0.625482830418817	TE + PrE
0.282146952449383	0.388100437655273	0.329752609895343	TE + PrE
0.0314869554863213	0.543366109546162	0.425146934967517	TE + PrE
0.118362120568265	0.258481996445675	0.623155882986059	TE + PrE
0.011553411366624	0.41466575472195	0.573780833911426	TE + PrE
2.49473714333373e-05	0.412866923761645	0.587108128866922	TE + PrE
0.0109980355755003	0.570851791139268	0.418150173285232	TE + PrE
0.000914659893931832	0.313028385944285	0.686056954161783	TE + PrE
0.156666944283808	0.366750606963159	0.476582448753033	TE + PrE
0.0464528411795108	0.45113079986504	0.502416358955449	TE + PrE
0.00256001664305361	0.497984508557892	0.499455474799055	TE + PrE
0.0104059935490411	0.384045653070498	0.605548353380461	TE + PrE
0.0233052153928271	0.471742550780397	0.504952233826776	TE + PrE
0.249210904088345	0.2005750314491	0.550214064462555	TE + PrE
0.00802564313925278	0.346557630869266	0.645416725991481	TE + PrE
0.00135526750218973	0.213410177959959	0.785234554537851	TE + PrE
0.101286963717663	0.406054027395139	0.492659008887198	TE + PrE
0.974177297191818	0.00905453141770146	0.0167681713904808	EPI only
0.849199325909934	0.105410332078254	0.0453903420118122	EPI only
0.911283488900478	0.0251612756702838	0.0635552354292378	EPI only
0.758518497907102	0.00173266207429865	0.239748840018599	EPI only
0.957239662914124	0.0282421130788923	0.0145182240069837	EPI only
0.886540347998786	0.0174244019498054	0.0960352500514084	EPI only
0.931530278913917	0.0433831546646539	0.0250865664214287	EPI only
0.777476893031396	0.0954484153268917	0.127074691641712	EPI only
0.88903663556343	0.0378039049436069	0.0731594594929626	EPI only
0.738218599333319	0.236754882624225	0.0250265180424561	EPI only
0.96903590816218	0.00787313507030918	0.0230909567675105	EPI only
0.909055878658659	0.0319196857568584	0.0590244355844829	EPI only
0.875324300510087	0.0341889248390533	0.0904867746508591	EPI only
0.797862036903692	0.165437608266053	0.0367003548302549	EPI only
0.887521577041882	0.00537608342482597	0.107102339533292	EPI only
0.789848172098109	0.189249633930628	0.0209021939712625	EPI only
0.925739006599065	0.0373395533369623	0.0369214400639726	EPI only
0.820355264477886	0.0902103898982517	0.0894343456238625	EPI only
0.989522228127598	0.00104970025310928	0.00942807161929228	EPI only
0.958152528676155	0.0183115963076931	0.0235358750161514	EPI only
0.790171243548762	0.204120906578998	0.00570784987224006	EPI only
0.926359919444039	0.0496759749083384	0.0239641056476224	EPI only
0.937363595272072	0.0223071327397535	0.0403292719881749	EPI only
0.792120998389246	0.0736856502644937	0.134193351346261	EPI only
0.893547729517708	0.0716667962915585	0.0347854741907339	EPI only
0.951041116475521	0.000661489271370756	0.048297394253108	EPI only
0.871189160194746	0.0919436569990414	0.0368671828062123	EPI only
0.931853673152147	0.0326161834092538	0.0355301434385989	EPI only
0.957913877834891	0.0211819849469583	0.020904137218151	EPI only
0.825379320191246	0.151384544115613	0.0232361356931414	EPI only
0.742311433235317	0.00120848751837257	0.25648007924631	EPI only
0.936129182031961	0.024799013948672	0.0390718040193673	EPI only
0.78527805522574	0.202626864180662	0.0120950805935984	EPI only
0.924103046846436	0.0427971898594369	0.0330997632941274	EPI only
0.899573200468555	0.00741859902060842	0.0930082005108364	EPI only
0.758262523582867	0.07909240305187	0.162645073365263	EPI only
0.835283035189431	0.114938303626053	0.049778661184516	EPI only
0.975903131603102	0.00976251291993157	0.0143343554769664	EPI only
0.870879792910351	0.0450736156912542	0.0840465913983948	EPI only
0.949929499786798	0.00470499985976133	0.0453655003534402	EPI only
0.925059988366064	0.0325802419162284	0.0423597697177079	EPI only
0.912259826770202	0.00769584132618562	0.0800443319036124	EPI only
0.0169084304789811	0.966740523458934	0.0163510460620849	TE only
0.0293726005250567	0.88979807255165	0.080829326923293	TE only
0.0065583599947271	0.90097205226462	0.0924695877406527	TE only
